decimalyear,pco2atm
1993.416667,355.668323
1993.5,355.750679
1993.583333,355.839446
1993.666667,355.934473
1993.75,356.035462
1993.833333,356.142113
1993.916667,356.254127
1994,356.371205
1994.083333,356.493048
1994.166667,356.619357
1994.25,356.749833
1994.333333,356.884176
1994.416667,357.022088
1994.5,357.163268
1994.583333,357.307433
1994.666667,357.45435
1994.75,357.6038
1994.833333,357.755566
1994.916667,357.90943
1995,358.065174
1995.083333,358.222578
1995.166667,358.381427
1995.25,358.5415
1995.333333,358.70258
1995.416667,358.864449
1995.5,359.026888
1995.583333,359.189563
1995.666667,359.351664
1995.75,359.512267
1995.833333,359.670446
1995.916667,359.825275
1996,359.975829
1996.083333,360.121183
1996.166667,360.26041
1996.25,360.392586
1996.333333,360.516784
1996.416667,360.63208
1996.5,360.737547
1996.583333,360.832853
1996.666667,360.920035
1996.75,361.00172
1996.833333,361.08054
1996.916667,361.159122
1997,361.240095
1997.083333,361.32609
1997.166667,361.419735
1997.25,361.523659
1997.333333,361.640491
1997.416667,361.772861
1997.5,361.923398
1997.583333,362.093868
1997.666667,362.28259
1997.75,362.487022
1997.833333,362.70462
1997.916667,362.932841
1998,363.169141
1998.083333,363.410978
1998.166667,363.655809
1998.25,363.901089
1998.333333,364.144276
1998.416667,364.382826
1998.5,364.614197
1998.583333,364.836285
1998.666667,365.048742
1998.75,365.251662
1998.833333,365.445137
1998.916667,365.62926
1999,365.804124
1999.083333,365.96982
1999.166667,366.126443
1999.25,366.274085
1999.333333,366.412837
1999.416667,366.542794
1999.5,366.664047
1999.583333,366.77688
1999.666667,366.882333
1999.75,366.981639
1999.833333,367.076028
1999.916667,367.166732
2000,367.254983
2000.083333,367.342012
2000.166667,367.429051
2000.25,367.51733
2000.333333,367.608081
2000.416667,367.702536
2000.5,367.801927
2000.583333,367.907207
2000.666667,368.018223
2000.75,368.134545
2000.833333,368.255743
2000.916667,368.381387
2001,368.511045
2001.083333,368.644289
2001.166667,368.780687
2001.25,368.919809
2001.333333,369.061226
2001.416667,369.204506
2001.5,369.34922
2001.583333,369.49511
2001.666667,369.642617
2001.75,369.792352
2001.833333,369.944929
2001.916667,370.10096
2002,370.261058
2002.083333,370.425836
2002.166667,370.595906
2002.25,370.771881
2002.333333,370.954375
2002.416667,371.143999
2002.5,371.341367
2002.583333,371.546723
2002.666667,371.758836
2002.75,371.976107
2002.833333,372.196938
2002.916667,372.41973
2003,372.642883
2003.083333,372.864799
2003.166667,373.083878
2003.25,373.298522
2003.333333,373.507132
2003.416667,373.708109
2003.5,373.899854
2003.583333,374.08124
2003.666667,374.253029
2003.75,374.416457
2003.833333,374.572756
2003.916667,374.723162
2004,374.868909
2004.083333,375.011232
2004.166667,375.151364
2004.25,375.290541
2004.333333,375.429996
