decimalyear,pco2atm
1994.25,348.3311
1994.333333,348.4595
1994.416667,348.5911
1994.5,348.7254
1994.583333,348.8622
1994.666667,349.0015
1994.75,349.143
1994.833333,349.2867
1994.916667,349.4326
1995,349.5805
1995.083333,349.7305
1995.166667,349.8823
1995.25,350.0359
1995.333333,350.1912
1995.416667,350.3482
1995.5,350.5068
1995.583333,350.6666
1995.666667,350.8269
1995.75,350.9864
1995.833333,351.144
1995.916667,351.2986
1996,351.4492
1996.083333,351.5946
1996.166667,351.7336
1996.25,351.8652
1996.333333,351.9882
1996.416667,352.1016
1996.5,352.2042
1996.583333,352.2955
1996.666667,352.3777
1996.75,352.4532
1996.833333,352.5249
1996.916667,352.5954
1997,352.6674
1997.083333,352.7435
1997.166667,352.8265
1997.25,352.919
1997.333333,353.0236
1997.416667,353.1431
1997.5,353.2802
1997.583333,353.4366
1997.666667,353.611
1997.75,353.8011
1997.833333,354.0046
1997.916667,354.2195
1998,354.4432
1998.083333,354.6738
1998.166667,354.9088
1998.25,355.1461
1998.333333,355.3834
1998.416667,355.6185
1998.5,355.8491
1998.583333,356.0733
1998.666667,356.2904
1998.75,356.5001
1998.833333,356.7021
1998.916667,356.8959
1999,357.0814
1999.083333,357.258
1999.166667,357.4255
1999.25,357.5836
1999.333333,357.7318
1999.416667,357.8699
1999.5,357.9974
1999.583333,358.1144
1999.666667,358.222
1999.75,358.3215
1999.833333,358.4144
1999.916667,358.502
2000,358.5858
2000.083333,358.6672
2000.166667,358.7476
2000.25,358.8283
2000.333333,358.9109
2000.416667,358.9966
2000.5,359.0869
2000.583333,359.183
2000.666667,359.2846
2000.75,359.3916
2000.833333,359.5034
2000.916667,359.6197
2001,359.7402
2001.083333,359.8645
2001.166667,359.9922
2001.25,360.1229
2001.333333,360.2562
2001.416667,360.3919
2001.5,360.5295
2001.583333,360.6688
2001.666667,360.8102
2001.75,360.9542
2001.833333,361.1013
2001.916667,361.252
2002,361.407
2002.083333,361.5667
2002.166667,361.7316
2002.25,361.9022
2002.333333,362.0792
2002.416667,362.263
2002.5,362.4541
2002.583333,362.6527
2002.666667,362.8578
2002.75,363.0677
2002.833333,363.2811
2002.916667,363.4964
2003,363.7122
2003.083333,363.9269
2003.166667,364.1392
2003.25,364.3475
2003.333333,364.5504
2003.416667,364.7463
2003.5,364.9338
2003.583333,365.1118
2003.666667,365.2811
2003.75,365.4426
2003.833333,365.5974
2003.916667,365.7468
2004,365.8917
2004.083333,366.0332
2004.166667,366.1724
2004.25,366.3104
2004.333333,366.4483
2004.416667,366.5872
2004.5,366.7282
2004.583333,366.8721
2004.666667,367.0192
2004.75,367.1693
2004.833333,367.3223
2004.916667,367.4784
2005,367.6373
2005.083333,367.799
2005.166667,367.9636
2005.25,368.1309
2005.333333,368.3008
2005.416667,368.4734
2005.5,368.6486
2005.583333,368.8261
2005.666667,369.0055
2005.75,369.1858
2005.833333,369.3665
2005.916667,369.5467
2006,369.7258
2006.083333,369.9029
2006.166667,370.0773
2006.25,370.2483
2006.333333,370.4152
